NODE_160179_length_245_cov_1.775510_g150976_i0	GO:0005515,GO:0005515,GO:0005515
NODE_9210_length_1355_cov_368.902757_g6037_i0	GO:0051536
NODE_43177_length_549_cov_4.292000_g34569_i0	GO:0004672,GO:0005524,GO:0006468,GO:0009007,GO:0032775,GO:0004672,GO:0006468
NODE_11028_length_1244_cov_4.666109_g7298_i0	GO:0004497,GO:0005506,GO:0016705,GO:0020037
NODE_671_length_3459_cov_21.528739_g361_i0	GO:0005524,GO:0016887,GO:0005524,GO:0003677,GO:0003918,GO:0005524,GO:0006265,GO:0003723,GO:0003724,GO:0043531,GO:0005524,GO:0003924,GO:0005525,GO:0009378,GO:0006281,GO:0006310,GO:0005524,GO:0016301,GO:0005524,GO:0016887,GO:0005524,GO:0016887,GO:0005524,GO:0016887,GO:0016887,GO:0006302
NODE_17681_length_956_cov_5.188534_g12221_i0	GO:0016787
NODE_23785_length_797_cov_5.439840_g17082_i0	GO:0008236,GO:0006508,GO:0004185,GO:0006508
NODE_29985_length_690_cov_2.310452_g22445_i0	GO:0016614,GO:0050661,GO:0006006
NODE_194867_length_217_cov_5.571429_g185663_i0	GO:0003824
NODE_291584_length_177_cov_1.625000_g282379_i0	GO:0003682,GO:0003676,GO:0006355
NODE_45955_length_528_cov_7.329854_g37227_i0	GO:0015035,GO:0016972,GO:0071949,GO:0034975,GO:0005783
NODE_9558_length_1334_cov_2.533074_g6278_i0	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
NODE_304541_length_172_cov_3.447154_g295336_i0	GO:0008519,GO:0072488,GO:0016020
NODE_600_length_3572_cov_99.384899_g316_i0	GO:0003677
NODE_25177_length_770_cov_2.130374_g18233_i0	GO:0005085,GO:0005515
NODE_18840_length_921_cov_3.553899_g13108_i0	GO:0016747
NODE_26896_length_739_cov_3.807246_g19723_i0	GO:0006488,GO:0016020
NODE_261837_length_187_cov_2.637681_g252632_i0	GO:0003735,GO:0006412,GO:0005840
NODE_123406_length_287_cov_2.336134_g114204_i0	GO:0005515,GO:0005515,GO:0005515
